$	0m	0m	1m	1m	1m	2m	2m	2m
EG10147	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10148	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10149	8.0000	8.0000	7.4762	7.0000	7.0000	6.9091	6.0000	6.5000
EG10150	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10151	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10152	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10153	1.0000	1.0000	0.5238	0.0000	0.0000	0.0000	0.0000	0.0000
EG10154	1.0000	1.0000	0.5238	0.0000	0.0000	0.0000	0.0000	0.0000
EG10155	7.0000	7.0000	7.6190	8.0000	11.3810	12.0000	10.1429	9.5455
EG10156	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10157	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10158	0.0000	0.0000	0.0000	0.0000	0.0000	0.4091	1.0000	1.0000
EG10159	0.0000	0.0000	0.0000	0.0000	0.0000	0.4091	1.0000	1.0000
EG10160	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10161	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10162	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10163	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10164	2.0000	2.0000	1.8095	2.0000	2.0000	2.0000	2.0000	2.5909
EG10165	10.0000	9.6190	9.0000	9.0000	9.7143	9.0000	9.8095	9.1818
EG10166	4.0000	3.5714	3.0000	3.0000	3.0000	3.0000	2.3333	3.5455
EG10167	1.0000	1.0000	1.0000	1.0000	1.0000	0.1364	0.0000	0.0000
EG10168	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10169	1.0000	1.0000	1.0000	0.2727	0.0000	0.0000	0.0000	0.0000
EG10170	0.0000	0.0000	0.0000	0.0000	0.0000	0.1364	1.0000	1.0000
EG10172	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10173	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10174	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10175	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10176	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10177	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10178	2.0000	2.0000	1.2381	1.0000	1.0000	1.0000	1.0000	1.0000
EG10179	2.0000	2.0000	1.2381	1.0000	1.0000	1.0000	1.0000	1.0000
EG10180	2.0000	2.0000	1.2381	1.0000	1.0000	1.0000	1.0000	1.0000
EG10181	2.0000	2.0000	1.2381	1.0000	1.0000	1.0000	1.0000	1.0000
EG10182	2.0000	2.0000	1.2381	1.0000	1.0000	1.0000	1.0000	1.0000
EG10183	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5455
EG10184	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10185	1.0000	1.0000	0.9524	0.0000	0.0000	0.2727	0.5238	0.0000
EG10186	1.0000	1.0000	0.9524	0.0000	0.0000	0.2727	0.5238	0.0000
EG10187	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10188	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10189	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10190	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10191	0.0000	0.0000	0.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10192	11.0000	10.4286	9.1429	9.0000	8.4762	9.0000	8.0952	8.0000
EG10193	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5455
EG10194	1.0000	1.0000	0.9524	0.0000	0.0000	0.2727	0.5238	0.0000
EG10195	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5455
EG10196	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10197	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5455
EG10198	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	0.5455
EG10200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10201	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10202	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10203	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10204	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10205	1.0000	1.0476	1.7143	1.0000	1.0000	1.0000	0.7619	0.0000
EG10206	2.0000	2.0000	2.4762	3.0000	3.0000	3.0000	3.0000	3.0000
EG10207	7.0000	7.1429	5.8571	5.2273	5.0000	5.0000	5.0000	5.2273
EG10208	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10209	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	2.0000	1.9545
EG10210	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10211	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
EG10212	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10213	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10214	2.0000	2.0000	2.0000	1.9091	1.0000	1.0000	1.0000	0.5455
EG10215	1.0000	1.0000	1.0000	1.0000	1.0000	1.2727	1.8095	1.6818
EG10216	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10217	3.0000	3.0000	3.0000	2.2273	2.0000	2.0000	2.0000	2.0000
EG10218	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
EG10219	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
