$	0m	0m	1m	1m	1m	2m	2m	2m
ANGLYC3PDEHYDROGSUBUNITA-MONOMER	122.0000	122.0000	122.0000	122.0000	122.0000	122.0000	122.0000	122.4091
ANGLYC3PDEHYDROGSUBUNITB-MONOMER	136.0000	136.0000	136.0000	136.0000	136.0000	136.0000	136.0000	136.0000
ANGLYC3PDEHYDROGSUBUNITC-MONOMER	119.0000	119.0000	119.0000	119.0000	119.0000	119.0000	119.0000	119.0000
ANSA-MONOMER	425.0000	425.4286	429.3333	437.5455	441.7619	447.5909	454.3333	461.5000
ANSB-MONOMER	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000	10.0000
ANSP-MONOMER	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000
ANTHRANSYNCOMPI-MONOMER	628.0000	628.0000	628.0000	628.0000	628.0000	628.0000	628.0000	628.0000
ANTHRANSYNCOMPII-MONOMER	343.0000	343.0000	343.0000	343.0000	343.0000	343.0000	343.0000	343.0000
APHA-MONOMER	81.0000	81.0000	81.0000	81.0000	81.0000	81.0000	81.0000	81.0000
APPA-MONOMER	29.0000	29.0000	29.0000	29.0000	29.0000	29.0000	29.0000	29.0000
APPB-MONOMER	17.0000	17.0000	17.0000	17.0000	17.0000	17.0000	17.0000	17.0000
APPC-MONOMER	17.0000	17.0000	17.0000	17.0000	17.0000	17.0000	17.0000	17.0000
AQPZ-MONOMER	25.0000	25.0000	25.0000	25.0000	25.0000	25.0000	25.0000	25.0000
ARABISOM-MONOMER	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000	14.0000
ARAE-MONOMER	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000	7.0000
ARAF-MONOMER	59.0000	59.0000	59.0000	59.0000	59.0000	59.0000	59.0000	59.0000
ARAG-MONOMER	62.0000	62.0000	62.0000	62.0000	62.0000	62.0000	62.0000	62.0000
