gene	uniprot	Glucose	LB	Glycerol + AA	Acetate	Fumarate	Glucosamine	Glycerol	Pyruvate	Chemostat µ=0.5	Chemostat µ=0.35	Chemostat µ=0.20	Chemostat µ=0.12	Stationary phase 1 day	Stationary phase 3 days	Osmotic-stress glucose	42°C glucose	pH6 glucose	Xylose	Mannose	Galactose	Succinate	Fructose
dnaN	P0A988	576.9588740956051	906.0765302788407	803.4995655761712	385.2680168363541	518.7111374325929	504.76519338568824	534.0243546084716	463.00298597978315	468.2597575128895	368.4972031367837	319.5392287610617	282.8520453697693	224.46873899993813	253.07927509488508	588.6021853961041	982.4624176803935	519.4071505238371	647.9994245507918	445.9558282295575	395.8063776272351	386.01127327985904	520.1604223519638
nfo	P0A6C1	205.4313829075884	280.85868741658993	340.4366646918805	123.6077448484687	149.2899582657658	228.42573082086537	197.53385346227589	205.16890593428116	188.39600027844955	155.1515168617716	126.77952816341512	106.52033424869927	265.7360400865346	211.4338054070229	506.39160873338625	435.27953690594654	446.00194064308494	374.5987790555213	237.2519926652481	244.98120394322473	225.62061935413007	262.0624727205921
ssb	P0AGE0	3611.7363861073613	8232.345273575944	6585.614192020569	2083.163136961787	3307.131664085926	4153.355391872186	3257.0452967473184	3384.973785933161	2812.2627021756775	2868.283083812877	2584.085679183077	2150.59059653832	2139.3375254890702	2085.0514431376573	3715.6430209297973	3834.3434605266066	4805.313176022468	3938.3566067751326	3233.8173566052305	2517.102622234623	3018.776277811127	4037.2802089739344
ihfB	P0A6Y1	5359.847223017276	4383.1205143289135	4169.105378595045	3432.438109991196	4050.450490896314	4935.505105190311	4562.619269085843	4391.944503488951	3820.34930433772	3669.4051023289508	3529.72342475558	4278.271912596384	6259.626111798885	6636.457712053647	6469.828787939242	6760.18069476312	8089.1547801526385	4303.3830221191965	4527.385453615982	4466.555544201783	3699.456379401472	4501.391194827293
parC	P0AFI2	124.86668343893679	267.57976776134143	133.10849845805805	61.89396000565988	67.53087186465794	90.1018314359553	95.20458603909671	108.6876983635497	131.62093013699675	99.772531798152	72.60294059292124	61.459931399189664	33.90095811895353	40.15687482742806	59.9426673677727	125.11767782553237	70.03179479473155	98.06027816765645	112.16381373901349	55.83865295853984	89.38972711374008	138.62138683223392
fadR	P0A8V6	185.91105925751066	428.2226297210343	403.63052354427316	147.95768389350457	178.8828168733006	307.93975466694525	215.13783897856678	222.8829182301528	233.64960788859057	215.2677154178292	184.57152211882874	187.41286676130306	175.27749984843337	74.52402845319212	198.12978318733994	158.28614254543822	232.92145629730354	231.90698748461878	220.23620121867904	186.57090995000564	197.85581262552134	219.68280067612787
rob	P0ACI0	102.04256369507827	184.85740218556595	112.09159859428783	114.51684202479693	113.29431641117739	107.83721418748776	119.31253719784503	97.07993151465053	126.37733065100633	131.62973781211227	137.05469374471514	157.93759818642255	42.03478952049024	69.90726511142778	62.735229712601615	133.38216623258552	111.19830668136248	66.9191679999142	80.05531153779084	87.60493948179906	65.07172806152245	78.70302239686724
slyA	P0A8W2	785.2486335230935	783.598677171731	694.388907996306	694.8434534919695	759.2731839218142	787.4578950328681	667.8969649992321	785.7130783146878	893.0610703054064	742.7858954862869	614.4520988352505	509.2398118619157	468.30820626476816	642.6577079683577	1090.2261304460435	1286.4101946090545	934.5823605228026	928.6688293704684	783.5901084310304	507.03516506592433	773.2410800902009	639.4932977535468
yjdC	P0ACU7	519.9761659285776	323.2090446135352	439.82152567710136	560.1806188348854	520.4010914519081	550.9701582476775	538.0582185582384	527.6101485546947	425.1689317033	483.8652103689208	552.0881243695973	456.24522399748463	191.0418226189097	280.94283825770157	710.5179220303927	681.3435756909149	539.1439547335511	448.84670591944024	483.87087278593066	475.7623586622308	274.5788813962388	291.28650449095045
galR	P03024	64.47884417	97.09317935	NA	37.21179852	56.00684063	53.06087284	67.78646702	48.12930919	38.19568527	29.17046276	11.38348161	16.01799771	7.102879103	17.90543839	23.99283616	33.7074778	35.77685161	NA	NA	25.86338791	22.92294404	NA
