"tryptophan [mmol/L], fed-batch [h]",DDB_PD_002_AMBR_R8,DDB_PD_002_AMBR_R7,DDB_PD_072_AMBR_R7,DDB_PD_072_AMBR_R8,DDB_PD_074_AMBR_R12,DDB_PD_107_AMBR_R1,DDB_PD_107_AMBR_R10,DDB_PD_107_AMBR_R11,DDB_PD_107_AMBR_R12,DDB_PD_107_AMBR_R13,DDB_PD_107_AMBR_R2,DDB_PD_107_AMBR_R3,DDB_PD_107_AMBR_R5,DDB_PD_107_AMBR_R6,DDB_PD_107_AMBR_R7,DDB_PD_107_AMBR_R8,DDB_PD_107_AMBR_R9,DDB_PD_110_AMBR_R10,DDB_PD_110_AMBR_R5,DDB_PD_110_AMBR_R6,DDB_PD_110_AMBR_R7,DDB_PD_110_AMBR_R8,DDB_PD_110_AMBR_R9
19.96,,,,,,10.6,8.294,,,,11.544,,,,,,,,,,,,12.336
19.97,,,,,1.298,,,2.197,,,,,,,,,,,,,,,
19.970000000000002,,,1.355,,,,,,,,,,3.181,3.342,,,,,,,10.211,,
19.979999999999997,,,,,,,,,,1.672,,,,,,8.367,,12.222,,,,,
19.989999999999995,,,,1.058,,,,,,,,,,,,,,,,,,,
19.99,,,,,,,,,,,,11.452,,,,,,,,,,,
20.0,,,,,,,,,,,,,,,,,,,10.951,,,,
20.009999999999998,,,,,,,,,,,,,,,2.79,,,,,,,,
20.93,1.25,1.177,,,,,,,,,,,,,,,,,,,,,
22.970000000000002,,,0.562,,,,,,,,,,,,,,,,,,,,
22.989999999999995,,,,0.289,,,,,,,,,,,,,,,,,,,
23.92,,0.313,,,,,,,,,,,,,,,,,,,,,
23.940000000000005,0.275,,,,,,,,,,,,,,,,,,,,,,
23.95,,,,,,,,,,,,,,,,,,,,,,17.256,
23.959999999999997,,,,,,,,,1.014,,,,,,,,11.075,,,14.304,,,
23.96,,,,,,,9.895,,,,13.342,,,,,,,,,,,,16.577
23.97,,,,,0.659,,,1.407,,,,,,,,,,,,,,,
23.970000000000002,,,0.317,,,,,,,,,,2.092,2.237,,,,,,,12.986,,
23.979999999999997,,,,,,,,,,0.0,,,,,,9.788,,16.418,,,,,
23.989999999999995,,,,0.086,,,,,,,,,,,,,,,,,,,
23.99,,,,,,,,,,,,13.109,,,,,,,,,,,
23.990000000000002,,,,,,,,,,,,,,,1.909,,,,,,,,
24.0,,,,,,,,,,,,,,,,,,,13.251,,,,
24.009999999999998,,,,,,13.417,,,,,,,,,,,,,,,,,
27.43,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
27.97,,,,,0.0,,,,,,,,,,,,,,,,,,
